Datetime,Tweet Id,Text
2021-12-20 12:20:31+00:00,1472904748709855243,"@MekaniPing Hi Berke. Without revealing your email address, tell us more about what's going on with your Google acc… https://t.co/PclxYUn07w"
2021-12-20 12:19:58+00:00,1472904606917222404,@alami_mariem Hi Mariem. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 12:06:42+00:00,1472901269597601801,"@iBESTLIAMSTAN Ah, it may not be working. Are you following @Google on Twitter? Try unfollowing &amp; following again.… https://t.co/ozE9lEizjX"
2021-12-20 10:59:20+00:00,1472884314731954183,"@knowjis325 Hi, Rie. Thanks for your review! In order to help you, we need you to further develop your question. If… https://t.co/wePSRb6jUN"
2021-12-20 10:23:02+00:00,1472875182528376834,"@vSnowkeo Mind if we jump in? Just to confirm, are you still able to sign into your Google account? Let us know."
2021-12-20 10:11:25+00:00,1472872257894690823,@PrinceK86458304 Hi Prince. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 09:23:09+00:00,1472860112226238465,@PhilSha94823268 Hmm. Is this a Google Workspace account (ending in something other than @gmail.com)? We suggest co… https://t.co/orlL6y9l8f
2021-12-20 09:17:33+00:00,1472858702914981890,@Krishna64656156 Hi Krishna. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 09:16:18+00:00,1472858386727419904,@sumi_verse Hi Sumit. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 09:13:00+00:00,1472857556133588992,"@Kuldeep49276828 Hi Kuldeep. Are you getting a specific error message? Without revealing your email address, give u… https://t.co/WLaoEFRnmX"
2021-12-20 09:11:49+00:00,1472857258795180036,@deep_khundiya Hi Deep. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 09:09:27+00:00,1472856662587453443,@Rajesh04652429 Hi Subhash. We'd like to move this conversation to DM. Please follow us and let us know when you ha… https://t.co/ESUaSheAxc
2021-12-20 07:23:43+00:00,1472830053205557248,@PalaspagarPayal Hi Payal. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 06:56:47+00:00,1472823278251261958,@mia_rasik Hi Rasik. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
2021-12-20 06:39:09+00:00,1472818838190411779,@SaikatR81917289 Hi Saikat. Let's see what we can do to help. Look out for a DM with next steps.
2021-12-20 06:38:16+00:00,1472818616693313537,@danishraja189 Hi Danish. We'd like to move this conversation to DM. Please follow us and let us know when you have… https://t.co/gFbyY2GKIy
2021-12-19 09:01:55+00:00,1472492377776472069,@constantaeyong Hi there. Clearing your browser's cache and cookies first may help: https://t.co/dsW9ilZdyx. Let us know if that helps!
2021-12-19 01:54:30+00:00,1472384817971011586,"@googlemeetvolu1 Hi there. Thanks for the feedback, you can also send it here: Meet &gt; Settings Menu (top left) &gt; Send feedback."
2021-12-18 23:28:40+00:00,1472348117479657476,@NirvanaNilima @GoogleWorkspace Thank you so much for the feedback! We really appreciate you taking the time to giv… https://t.co/FnB03lUwBk
2021-12-18 22:38:15+00:00,1472335430150496259,@NirvanaNilima @GoogleWorkspace Hi there. We'd love to help! Please visit the Help Center (https://t.co/fcx5Yd18Pp)… https://t.co/u33KElxvOz
2021-12-18 16:56:46+00:00,1472249490279129090,"@suvendu_sinha14 Hey, Suvendu, thanks for reaching out! You can follow the instructions here to recover your accoun… https://t.co/2um7fU7EKa"
2021-12-18 16:00:15+00:00,1472235270535880710,"@amanrajuhd Hi, Aman. Thank you for your feedback! You can also submit feedback within the Messages app by clicking… https://t.co/BG0OIoGRfu"
2021-12-18 12:50:20+00:00,1472187473581289480,"@georgelfc89 Hi there. Just to check, is the issue resolved? If not, feel free to send us the info requested above… https://t.co/ddMnNrVgnq"
2021-12-18 04:49:18+00:00,1472066419441508352,@googlemeetvolu1 Hi there. Thanks for the feedback! You can also send it here: Meet &gt; Settings Menu (top left) &gt; Se… https://t.co/gbxAgiqUju
